translation	vocab	tag
||to ask||to invite||please (do sth)||to treat (to a meal etc)||to request	请	hsk
||water||river||liquid||beverage||additional charges or income||(of clothes) classifier for number of washes	水	hsk
||east||host (i.e. sitting on east side of guest)||landlord	东	hsk
||the West||abbr. for Spain 西班牙[Xi1 ban1 ya2]||Spanish|||<b>xī</b>||west	西	hsk
"||to listen||to hear||to obey||a can (loanword from English ""tin"")||classifier for canned beverages"	听	hsk
||prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity||old (of people)||venerable (person)||experienced||of long standing||always||all the time||of the past||very||outdated||(of meat etc) tough	老	hsk
||machine||engine||opportunity||intention||aircraft||pivot||crucial point||flexible (quick-witted)||organic||CL:臺|台[tai2]	机	hsk
||lightning||electricity||electric (bound form)||to get (or give) an electric shock||phone call or telegram etc||to send via telephone or telegram etc	电	hsk
||to walk||to go||to travel||a visit||temporary||makeshift||current||in circulation||to do||to perform||capable||competent||effective||all right||OK!||will do||behavior||conduct||Taiwan pr. [xing4] for the behavior-conduct sense|||<b>háng</b>||row||line||commercial firm||line of business||profession||to rank (first, second etc) among one's siblings (by age)||(in data tables) row||(Tw) column	行	hsk
||friend	朋	hsk
||friend	友	hsk
||to hold||to seize||to catch||to apprehend||to take||(used in the same way as 把[ba3]: to mark the following noun as a direct object)	拿	hsk
||road||CL:條|条[tiao2]||journey||route||line (bus etc)||sort||kind	路	hsk
||outside||in addition||foreign||external	外	hsk
||to put||to place||to release||to free||to let go||to let out||to set off (fireworks)	放	hsk
||to learn||to study||to imitate||science||-ology	学	hsk
||school||military officer||CL:所[suo3]	校	hsk
||to leave||to depart||to separate||to distinguish||to classify||other||another||don't ...!||to pin||to stick (sth) in|||<b>biè</b>||to make sb change their ways, opinions etc	别	hsk
||station||to stand||to halt||to stop||branch of a company or organization||website	站	hsk
||to write	写	hsk
||early||prior||former||in advance||first	先	hsk
||you (courteous, as opposed to informal 你[ni3])	您	hsk
||female||woman||daughter	女	hsk
||to be born||to give birth||life||to grow||raw||uncooked||student	生	hsk
